filename,width,height,description
4329619655lPRD1BS.png,646,846,"The image shows a woman with blonde hair wearing a black baseball cap with the word ""TANDA"" written on it. She is wearing a black shirt with the word ""TANDA"" written in yellow letters. The woman is smiling and looking directly at the camera."
0924439125wz8N1ky.png,662,821,"In the image, a woman is sitting on the floor in front of a fireplace. She is wearing a bikini top and has two large, colorful flowers adorning her breasts. The woman is smiling and looking directly at the camera. The fireplace behind her is made of brick and has a gold door. The room has white cabinets and a wooden floor."
5929810948dhfR5xk.png,662,919,"The image shows a woman wearing a red lace bra and matching red fishnet stockings. She is sitting on a gray carpeted floor, with her arms resting on her knees. The woman's face is not visible in the image."
51177045em6OATO.PNG,723,835,"The image shows a woman with blonde hair sitting on a bed. She is wearing red underwear and has a necklace around her neck. The bed has a blue and white patterned blanket, and a cat is resting on the blanket next to her. The woman is looking directly at the camera, with a slight smile on her face."
5229809636qwDXsK6.png,656,869,"In the image, a woman is standing in a bathroom, wearing a white sweater and blue shorts. She is holding her arms up in the air, with her head tilted back, giving the impression that she is posing for a photo. The bathroom has a white shower curtain, and the woman is positioned in front of it. The image does not contain any text."
572271036yCqD1Vo.png,796,801,"In the image, a woman is captured in the midst of taking a selfie in a bathroom mirror. She is wearing a pink bikini top and black bikini bottoms, and is holding a black phone up to capture the moment. The bathroom mirror reflects her image, and the background includes a sink, a bottle of water, and a towel rack."
0110925849lJrukOs.png,709,870,"The image shows a person lying on a bed, with their body partially exposed. The person's face is visible, and they are resting their head on their hands. The bed is covered with a white sheet, and a lamp is positioned on the left side of the bed. The person's body is oriented towards the right side of the image, creating a sense of depth."
5714284711tVNwC2O.png,664,879,"In the image, a woman is captured in a moment of relaxation, lying in a bathtub filled with water. She is adorned with tattoos on her arms and legs, adding a unique touch to her appearance. The woman's face is turned towards the camera, and she is smiling, conveying a sense of joy and contentment. The bathtub is situated in a bathroom, with a potted plant visible in the background."
4729808504g9YQNth.png,767,793,"In the image, a woman is comfortably seated on a brown lawn chair, with her bare chest exposed. She is wearing a black tank top and red shorts, and her hands are resting on her chest. The chair is positioned on a patio, with a grassy lawn visible in the background."
10556609NwrWpQ4.PNG,645,808,"In the image, a woman is lying on a pink and purple striped towel on a grassy lawn. She is wearing a black bikini top and is smiling, with her head resting on her hand. The woman's face is partially obscured by her hand, adding a sense of privacy to the scene. The vibrant colors of the towel and the lush green lawn create a cheerful and relaxing atmosphere."
